2025/02/16 02:47:35.669602 开始执行程序...
2025/02/16 02:47:35.670125 ----------------------------------------
2025/02/16 02:47:35.670659 处理钱包地址: MfDuWeqSHEqTFVYZ7LoexgAK9dxk7cy4DFJWjWMGVWa
2025/02/16 02:47:35.670659 开始获取钱包 MfDuWeqSHEqTFVYZ7LoexgAK9dxk7cy4DFJWjWMGVWa 的代币列表...
2025/02/16 02:47:35.670659 ----------------------------------------
2025/02/16 02:47:36.151882 RPC代币数据: Mint=79vJrFFNvbWg9mF43C6taSMFXgUGTHx4cWnLx2Lspump, Amount=14707000000, Decimals=6
2025/02/16 02:47:36.151882 RPC代币数据: Mint=SHDWyBxihqiCj6YekG2GUr7wqKLeLAMK1gHZck9pL6y, Amount=960637036, Decimals=9
2025/02/16 02:47:36.151882 RPC代币数据: Mint=GKUEDEtazsjKRH5tKLWZhoYymnfyhSzZgK1vxTY8pump, Amount=500000000000, Decimals=6
2025/02/16 02:47:36.151882 RPC代币数据: Mint=Gjrmc1sWsDZfC1hKinXchoUAoehtW7GqRikUYm2wpump, Amount=6719000000, Decimals=6
2025/02/16 02:47:36.152385 RPC代币数据: Mint=ozPUJ7A9w7MvAxrjGhZVMarTG2uCRLTGRd4yHQ7LtdF, Amount=2512158210, Decimals=6
2025/02/16 02:47:36.152390 RPC代币数据: Mint=38XiEGgLXh7YPvaGm9FANYmJgbc4zdAHrdDj9m9AFCzE, Amount=50000000, Decimals=4
2025/02/16 02:47:36.152397 RPC代币数据: Mint=7HrKLqaf79TcmdnkNCaEdgnPd78pTh2nc2BXRaZNqZWo, Amount=17000000000000, Decimals=9
2025/02/16 02:47:36.152397 RPC代币数据: Mint=8d6rP1Lodf4WgRfr1AvwLFmQHNScpWBfK4F8gmNDP1We, Amount=30196521, Decimals=6
2025/02/16 02:47:36.152397 RPC代币数据: Mint=5VcuaoHqYd2gVJT9bMqJwKPR29LgDkw4BmAsEa3AAU9u, Amount=10000000, Decimals=6
2025/02/16 02:47:36.152397 RPC代币数据: Mint=59KMtYTvk7McpJwztAsXVNPQsDsuv5WpaMNAzAAP96qq, Amount=5000000000, Decimals=6
2025/02/16 02:47:36.152397 RPC代币数据: Mint=7rqbJrD7roUfcSszPLGGu6C7FPEptRSxixEAfAHXVvZP, Amount=1, Decimals=0
2025/02/16 02:47:36.152397 RPC代币数据: Mint=3pd1P7peYEoaWtvwPpAKkE8rVLrDXV4B5Rjo38VjDc6s, Amount=200000000000, Decimals=9
2025/02/16 02:47:36.152397 RPC代币数据: Mint=3zSgyhUqLvDtVnsMnSia6AwxWUE9w3jVMYVV56zzskPG, Amount=25000000000, Decimals=6
2025/02/16 02:47:36.152397 RPC代币数据: Mint=65nTNuJGHme4PQvKQyJykKp1bJAkK4A8Q66sd2yBWugf, Amount=20000000000000, Decimals=6
2025/02/16 02:47:36.152397 RPC代币数据: Mint=EiYguYhvaBx2WE4tewctiGRHSbkFpHicrJFdY694e8jG, Amount=24000000, Decimals=6
2025/02/16 02:47:36.152397 RPC代币数据: Mint=7PhD89PuhfXeMUVyNeRAKJuSwd83vdeXmrhndRP2W2jR, Amount=2000000000, Decimals=6
2025/02/16 02:47:36.152397 RPC代币数据: Mint=rp9zZVgesJDm4xnKmCFggsyPiN3jpq4c6J1PXdFTczg, Amount=5601555643, Decimals=6
2025/02/16 02:47:36.152397 RPC代币数据: Mint=CfgmB9iTWABdYh3CHQQDUGtWy18rMNAEEqyp4GrJpump, Amount=10000000, Decimals=6
2025/02/16 02:47:36.152397 RPC代币数据: Mint=C1yCZSTNhGHxgTuF868FymRbvrmoSKCkmXA8YAj2qGzS, Amount=1000000000000, Decimals=9
2025/02/16 02:47:36.152397 RPC代币数据: Mint=4cmefKVKTyBGsy32wbWutBNdQKs8AHDuNfYTL9Gekx81, Amount=88000000, Decimals=6
2025/02/16 02:47:36.152397 RPC代币数据: Mint=7WuoLV7xXtbnjBuinB76c6pZYQgo5zW5bgL9rAXZ7f8t, Amount=1000000000000, Decimals=9
2025/02/16 02:47:36.152397 RPC代币数据: Mint=3HoGUAH2r3GW1tB6A3tExQai5ihKEjNyuEkwzDuUpump, Amount=9620457096, Decimals=6
2025/02/16 02:47:36.152397 RPC代币数据: Mint=2otVNpcHXn9MKeDk3Zby5uanF3s7tki4toaJ3PZcXaUd, Amount=2000000000, Decimals=9
2025/02/16 02:47:36.152397 RPC代币数据: Mint=76B1xzHdrGjznfmd2QZ8mz5muvSYkqC995qNtWdm2SK1, Amount=40000000000, Decimals=9
2025/02/16 02:47:36.152397 RPC代币数据: Mint=7ePhsDXkpPJs6rPM3TQScpbgonzKUPo9vuQr8GXMMGpf, Amount=500000000000, Decimals=6
2025/02/16 02:47:36.152397 RPC代币数据: Mint=7fNyW3hYzoB8fwKkSvhhqzVzNUtD1CkEGwmPBmDfpump, Amount=1000000000, Decimals=6
2025/02/16 02:47:36.152397 RPC代币数据: Mint=8ZRWNYXATcBAGkQ9TpesmbwY84FqyWjamG9uVs5Mpump, Amount=350664000, Decimals=6
2025/02/16 02:47:36.152397 RPC代币数据: Mint=HCxwRki4Rteg7zFSXegNn59EQTV19kS6FUrVz2fMGM4k, Amount=6450000000, Decimals=6
2025/02/16 02:47:36.152397 RPC代币数据: Mint=E3DwTBd7qSdun8rrFxeLvD6uSfd7pJxgsrnkj6duQc8U, Amount=11000000000000000, Decimals=9
2025/02/16 02:47:36.152397 RPC代币数据: Mint=SRMuApVNdxXokk5GT7XD5cUUgXMBCoAz2LHeuAoKWRt, Amount=0, Decimals=6
2025/02/16 02:47:36.152397 RPC代币数据: Mint=SLAMG93vQPmhfDCbT5NpDg6f8E7VNDs9FxBxhvdUwcX, Amount=5000000000, Decimals=9
2025/02/16 02:47:36.152397 RPC代币数据: Mint=6xtrNBXHwkbqtYHCDbb7x8FPi9WDFRwsk5AFHE7Bump, Amount=0, Decimals=6
2025/02/16 02:47:36.152397 RPC代币数据: Mint=Hje6SaAxMjLutKQhVTakwjsioXRde6Zzh3G15T451k83, Amount=740000000, Decimals=9
2025/02/16 02:47:36.152397 RPC代币数据: Mint=Ac36CptsPKph81iKp8yrKiudoLrNP2YDUrfmxu5fpump, Amount=929000000, Decimals=6
2025/02/16 02:47:36.152397 RPC代币数据: Mint=EchesyfXePKdLtoiZSL8pBe8Myagyy8ZRqsACNCFGnvp, Amount=0, Decimals=6
2025/02/16 02:47:36.152397 RPC代币数据: Mint=KejnxLk3FG6tEkpMQ9yphoDP8ywHuFpL6w6KA3tiQj4, Amount=88000000, Decimals=6
2025/02/16 02:47:36.152397 RPC代币数据: Mint=5M2W7FkZVq8y38LGcXHgx1M1enp6TS2roJR5st8QMAZm, Amount=103000000000, Decimals=6
2025/02/16 02:47:36.152397 RPC代币数据: Mint=Esmw7wa6Qr8d2nh8GhdnEDyQrH5CzRfSiqEgd4MwnBgt, Amount=1947150000000000, Decimals=9
2025/02/16 02:47:36.152397 RPC代币数据: Mint=GFUZnyAWmnRAqfzbnKsZmudZYRRsTgTLwcFCZwSiMBrk, Amount=47320000000, Decimals=9
2025/02/16 02:47:36.152397 RPC代币数据: Mint=5e6Y8yJ56i7nFwiks1Bqs5BXyN4DuvwHvdzoGYxjsHsn, Amount=4200000000, Decimals=8
2025/02/16 02:47:36.152397 RPC代币数据: Mint=CtesDJQReAuM6fTQHCdvaw6pHrZ2S863s23wXMiVVPsi, Amount=190402661397877, Decimals=6
2025/02/16 02:47:36.152397 RPC代币数据: Mint=EWy1HPEUq4Lgm6H4pQ8augEuJ7WRwJgENZMTAUzrpump, Amount=11000000000, Decimals=6
2025/02/16 02:47:36.152397 RPC代币数据: Mint=EE2yGh42ECNB4vPbVJ5aUzJoYvg99VKYb4DVLPap4LNn, Amount=33333000000, Decimals=6
2025/02/16 02:47:36.152397 RPC代币数据: Mint=XBMuuVZKHd6u8GyX6JakhjgpCA6h7FG28bXaWX2s51P, Amount=887000000000, Decimals=9
2025/02/16 02:47:36.152397 RPC代币数据: Mint=2fwtafTpgVusaXbQJqCGaXHBQ4Ptd7pKZExVv6bWvU4p, Amount=1000000000, Decimals=6
2025/02/16 02:47:36.152397 RPC代币数据: Mint=2cvj44jhx1EWWDj94tRK8Mqatxb2z5G9Ggxu9tdk8q1R, Amount=3000000000000, Decimals=6
2025/02/16 02:47:36.152397 RPC代币数据: Mint=FeR8VBqNRSUD5NtXAj2n3j1dAHkZHfyDktKuLXD4pump, Amount=36097898992629, Decimals=6
2025/02/16 02:47:36.152397 RPC代币数据: Mint=HmLspvjpQtQEnArUyJoBSFGS38gNJwBuxAeqSV9SZ66K, Amount=20000000000, Decimals=9
2025/02/16 02:47:36.152397 RPC代币数据: Mint=3REHMpCMBTxyZG4wV1xmiRiokeTyx2FM17RKR5qvpump, Amount=5000000000, Decimals=6
2025/02/16 02:47:36.152397 RPC代币数据: Mint=85tuQ4fY5s57SZiwWTkPB9KnFQAPUaqSG5B5f9f2pump, Amount=18078904, Decimals=6
2025/02/16 02:47:36.152397 RPC代币数据: Mint=6P4yBuWs6XnFf9hwyDsHVoqP4PnKtzKkcLhm4YFTyvWz, Amount=50000000, Decimals=6
2025/02/16 02:47:36.152397 RPC代币数据: Mint=C4MuFf4rAphbxPV1tcnUMxxx9Aa4UxumcverBSHxGoho, Amount=5000000000, Decimals=6
2025/02/16 02:47:36.152397 RPC代币数据: Mint=BU6vF65PmBRqW4XKQkmcbng1mgBVwGSTH2YXDVK4pump, Amount=1000000000, Decimals=6
2025/02/16 02:47:36.152397 RPC代币数据: Mint=3r6ErJfYo2ygX3N1GWcbWVLQtjUbiEBkSjzVWDEcB6vR, Amount=1000000000000000, Decimals=9
2025/02/16 02:47:36.152397 RPC代币数据: Mint=88tmABf1s3A6jbLD2yLR1tgbGjz68fz3EDrbeSB1JPPc, Amount=420690000000, Decimals=9
2025/02/16 02:47:36.152397 RPC代币数据: Mint=CfHMRL365CTYBmpiyFBF6Y5wTgeSwrzfZY6aR9ZLpump, Amount=1392000, Decimals=6
2025/02/16 02:47:36.152397 RPC代币数据: Mint=85MAhT8yPFBy9NAVscdoypz1PxknM8Dwcjf81Xx3gpze, Amount=50000000000, Decimals=9
2025/02/16 02:47:36.152397 RPC代币数据: Mint=AAK34S43BR6P6JyKGi2tS93z8S2BrPfd1DJHsTWCqS9t, Amount=151000000000, Decimals=9
2025/02/16 02:47:36.152397 RPC代币数据: Mint=7dySSeW5rDYAHsV8k9NK2Pi3BXAHDx7CyM1HUV6BsunK, Amount=12919971866500, Decimals=6
2025/02/16 02:47:36.152397 RPC代币数据: Mint=9xK1ux365dcr9tujc63wBsqXGRmp619UjEhuThCTpump, Amount=290000000, Decimals=6
2025/02/16 02:47:36.152397 RPC代币数据: Mint=G8J5DBuDMCZPW455DySgJubNKSSubNvSE9rCrvriZBw9, Amount=5000000, Decimals=6
2025/02/16 02:47:36.152397 RPC代币数据: Mint=BWWWurbodjGbovFetc3FC6oSbqkdoE62E1XqZ7X4pump, Amount=500000000, Decimals=6
2025/02/16 02:47:36.152397 RPC代币数据: Mint=FqgWKLdC7UUmnkMShLGtn7xWnUKk2sPer9pk3z5NGBFz, Amount=100000000, Decimals=6
2025/02/16 02:47:36.152397 RPC代币数据: Mint=4YePHyGaMvT1FwgLzLuMmfCouxAuzjbPDoZ9QfadacVs, Amount=372000000000, Decimals=6
2025/02/16 02:47:36.152397 RPC代币数据: Mint=GPyzPHuFFGvN4yWWixt6TYUtDG49gfMdFFi2iniTmCkh, Amount=2000000, Decimals=2
2025/02/16 02:47:36.152397 RPC代币数据: Mint=HqJC4NEmvWET7UTEvaJ1Cd8FYetXMUytGKwLFqXwF4Qp, Amount=99000000000, Decimals=9
2025/02/16 02:47:36.152397 RPC代币数据: Mint=36wR3oq9E72cgMGMnLHt1xQo1uungHYS8MUY35Uepump, Amount=50000000000, Decimals=6
2025/02/16 02:47:36.152397 RPC代币数据: Mint=C8YSCrPYprQTiegj7mdk8EqWTWPEoqJaFe5YaNEbWdtA, Amount=1500000000000, Decimals=9
